Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -29998.729   -30005.811        7.081   285.3
0.0025       -29998.845   -30024.307       25.462  1025.9
0.0050       -29998.881   -30015.107       16.226   653.8
0.0075       -29999.019   -30030.660       31.641  1274.9
0.0100       -29999.012   -30019.225       20.213   814.4
0.0125       -29999.151   -30025.020       25.869  1042.3
0.0150       -29999.211   -30021.012       21.801   878.4
0.0175       -29999.342   -30027.805       28.463  1146.9
0.0200       -29999.421   -30024.857       25.436  1024.9
0.0225       -29999.529   -30023.564       24.036   968.5
0.0250       -29999.610   -30020.436       20.826   839.1
0.0275       -29999.684   -30020.936       21.251   856.3
0.0300       -29999.750   -30021.727       21.976   885.5
0.0325       -29999.884   -30024.572       24.688   994.8
0.0350       -29999.930   -30023.043       23.113   931.3
0.0375       -29999.993   -30022.154       22.161   892.9
0.0400       -30000.052   -30020.234       20.182   813.2
0.0425       -30000.137   -30021.949       21.812   878.9
0.0450       -30000.187   -30020.049       19.862   800.3
0.0475       -30000.293   -30023.852       23.559   949.3
0.0500       -30000.351   -30021.125       20.774   837.1
0.0525       -30000.429   -30022.705       22.276   897.6
0.0550       -30000.507   -30022.148       21.641   872.0
0.0575       -30000.584   -30024.693       24.110   971.5
0.0600       -30000.652   -30022.893       22.241   896.2
0.0625       -30000.731   -30023.510       22.779   917.8
0.0650       -30000.835   -30025.260       24.425   984.2
0.0675       -30000.910   -30025.398       24.488   986.7
0.0700       -30000.969   -30023.188       22.218   895.3
0.0725       -30001.049   -30023.652       22.603   910.8
0.0750       -30001.136   -30023.254       22.118   891.2
0.0775       -30001.216   -30024.990       23.774   958.0
0.0800       -30001.279   -30022.570       21.292   857.9
0.0825       -30001.350   -30022.301       20.951   844.2
0.0850       -30001.435   -30023.154       21.720   875.2
0.0875       -30001.512   -30023.838       22.326   899.6
0.0900       -30001.599   -30024.684       23.085   930.2
0.0925       -30001.651   -30023.340       21.688   873.9
0.0950       -30001.717   -30022.514       20.796   838.0
0.0975       -30001.805   -30024.912       23.107   931.1
0.1000       -30001.883   -30024.797       22.914   923.3
0.1025       -30001.959   -30024.137       22.178   893.6
0.1050       -30002.023   -30023.994       21.971   885.3
0.1075       -30002.103   -30024.969       22.866   921.4
0.1100       -30002.166   -30024.051       21.885   881.8
0.1125       -30002.247   -30022.688       20.441   823.6
0.1150       -30002.324   -30024.139       21.815   879.0
0.1175       -30002.378   -30022.188       19.810   798.2
0.1200       -30002.433   -30023.559       21.125   851.2
0.1225       -30002.515   -30022.488       19.973   804.8
0.1250       -30002.605   -30025.633       23.028   927.9
0.1275       -30002.636   -30021.666       19.030   766.8
0.1300       -30002.734   -30026.305       23.571   949.8
0.1325       -30002.786   -30023.031       20.245   815.8
0.1350       -30002.892   -30026.416       23.524   947.9
0.1375       -30002.948   -30024.008       21.059   848.6
0.1400       -30003.038   -30026.766       23.727   956.1
0.1425       -30003.093   -30024.084       20.991   845.8
0.1450       -30003.168   -30024.803       21.635   871.7
0.1475       -30003.246   -30025.979       22.732   916.0
0.1500       -30003.335   -30027.195       23.861   961.4
0.1525       -30003.401   -30025.273       21.873   881.3
0.1550       -30003.470   -30024.449       20.979   845.3
0.1575       -30003.538   -30024.738       21.201   854.2
0.1600       -30003.619   -30025.734       22.116   891.1
0.1625       -30003.690   -30024.443       20.753   836.2
